goor;smerig,vies
gelegenheid;chance,opportunity
gewennen;get used to
geweld;violence,force
geërfd;inherited
gedag;goodbye
geweer;gun,rifle
graafwerkzaamheden;excavation work
(de) haan;cock
houden;hield(hold)
groot houden;be strong
haard;fireplace
heimwee;homesick
de hemel;heaven
de hals; throat
hang;tendency
de hoed;hat
herindelen;to reorganise
(de) hel;hell
heterdaad;red-handed
herkend;recognized (van herkennen)
hijgen;pant,gasp
heen;there
heup;hip
ophouden;stop
hurken;squat
handel;trade
hevig;erg sterk
haarspeldbochten;hair pin bend
hoefden;needed
hersenschudding;concussion
halsgevel;neck gable
herprofileren;re-profiling
herinrichting;refurbishment
ingeslagen;smashed in (van inslaan)
inslaan;stock up, wholesale
ingericht;constructed,decorated (van inrichten)
ietwat;somewhat
Imodium;for diarrhea
ineens;suddenly
indruk;impression,impress,imprint
ingrijpend;radically,far reaching
iep;elm
jakkeren;put your back into it, hard rijden
(het) kuiken;jong kip
kukeleku;cock-a-doodle
krukken;crutches,barstool
koppig;stubborn
kloppen;knock
knikken;node
(de) kwab;lobe
de kin; chin
de kelder;basement
de kam;comb
de kieuw;gill of a fish
krachten;forces,energy
het kerkhof;cemetery
kreunen;groan,moan
krom;crooked
knie;knee
knieholte;knee pit
kuit;achterkant van het scheenbeen
kaak;jaw = (bovenkaak+onderkaak)
kruipen;crawl
kont;ass
kronkelen;zigzag,meander
krikken;jack for car (krik)
kier;small opening,crack
klinker;vowel
keel;throat
kloppen;beat,knock
kletsen;small talk
kakelen;geluid van kip
koeren;geluid van duif
keus;choice
keten;chain
ketting;chain
kampen;fight,wrestle
kredietverstekkers;lenders
kentering;reversal,change
kelder;basement
kelderen;plunge
keihard;rock hard
kei;boulder,rock,stone
kwartier;15 minutes
klaver;clover
knus;gezellig
kabouter;gnome,dwarf
kneuzen;bruise
koos;van kiezen,chose
kleuraccent;colour accent
kavel;lot
knakken;break
laten;liet(keep, leave, arrange)
het lot;fate
leeuwen;lions (leeuw)
lauw;lukewarm
lachen;laugh
lies;groin
laken;sheet
lopende band;conveyer belt,treadmill
levert;deliver (van leveren)
liefhebben; love, cherish
liever;rather,preferably
leeuwerik;lark
levertraan;bron van vitamin-d
loeien;geluid van koeien
lieven;loving
loken;ogle
lafaard;coward
loodzwaar;very heavy
lichtmast;lamppost
lantaarnpaal;lamppost
massaal;heelveel
mager;lean
moe;tired
de mug;mosquito
merken;take note off, notice, van een merk voorzien
maaien;mow (grass)
monarchie;monarchy
meteen;suddenly
moessons;monsoons
medeklinkers;consonants
muzikanten;musician
miauwen;geluid van poes
mierzoet;very sweet
mikken;aim
mierenhoop;ant hill
minst;slightest,least
muf;musty,humid
mest;dung,manure
mening;opinion
medaillon;medallion,locket
metselaar;mason
maatregel;measure
het nut;profit,usefullness
nou;now
navel;belly button
neusvleugel;nostril
nek;neck
nauwelijks;barely
naderen;dichterbij,approaching
neergestoken;stabbed
normaliter;normally
nagedachtenis;memory,rembrance
neer;down
nadien;subsequently
opvallen;stand out
onverveerd;niet bang, courageous
(de) oliesjeik;oil sheikh
omhelzen;hug,embrace
onmiddelijk;immediately
ontaarden;to degenerate
opeens;suddenly
overeind;upright,straight
oksel;armpit
ooglid;eyelid
oorlel;earlobe
omringen;surround
ontheemd;verhuisd
orde;rules
op de vuist gaan;vechten
ontzilten;desalinate
op te krikken;verbeteren (opkrikken)
overstroming;flood
oef;oof! (exclamation)
opnames;recordings
overtuigen;convince,persuade
ontdaan;upset,aghast
opknappen;recuperate,improve
opgelopen;increased
ontwijken;avoid,dodge
ontkennen;deny
overal;everywhere
o.l.v.;onder leiding van
opluchten;facilitate,to relieve
oogst;harvest
opduiken;emerge,excavate
oase;oasis
opdracht;command,commission
onroerend;immovable
ontwortelen;uproot,eradicate
ontstaan;originate,arise
piep;geluid van een muis
paste;aanpassen,adjusted,plakken
het poosje;little while,period of time
plagen;bullied
pakken;to get
pleeg vader/moder/ouder;foster father/mother/parent
pleegmoedervergoeding;foster parent allowance
pgb;persoonsgebondenbudget (personal budget)
pink;little finger
palm;palm
pols;wrist
plukje;klein beetje
puinhoop;mess,chaos
peperduur;very expensive
plotseling;suddenly
pech;bad luck
postuum;posthumous,postmortem
plaatsvinden;take place,happen
plakkerig;sticky
penseelstreek;brush stroke
potlood;pencil
puin;rubble,debris
quaken;geluid van eend
rennen;rende,run
rekenen;to calculate
richten;to aim
(de) rem;break
roeien;row
reusachtig;giant-like
(de) rechter;judge
richel;ledge
ruk;jerk
rug;back
ramp;disaster,catastrophe
rap;snel
rantsoen;ration
ruzie;have a fight
radeloos;desperate
rampjaar;1672,disaster year
redeloos;irrational
reddeloos;irrecoverable
ronde doen;openbaar zijn
roepen;call
ravijnen;ravines
ruiken;smell,scent
raad;advice
raken;hit,affect
rechtekroonlijst;straight cornice
razen;rage
rampgebeid;disaster area
ruïne;ruin
schrikken;geschrokken,startled
staat op z'n kop;turned upside down
spalken;gespalkt,splint,put in splint
(het) stoffig;dusty
schijnen;shine,glisten
de stal;stable,sty
stiekem;secretly
sloeg;aanslag,beat
slordig;untidy
stom;stupid
de stekker;plug
de stem;voice
star;stiff
steenworp;stone's throw
samenvatten;conclusion,to conclude
schuiven;shove
schreeuw;cry,scream
spijsvertering;digestion
schamen;shame
schudden;shake
schouder;shoulder
schouderblad;shoulder blade
schelden;curse,call names
scheenbeen;shin
schedel;skull
staren;stare
stromen;stream
struiken;shrubs
steeg;small street
schuilgaan;onzichtbaar zijn
schaarste;shortage
schietgebed;short prayer
slaan;hit
stomp;punch
schop;kick(v),spade(n)
schimmel;wit paard,mould
in de steek laten;leave someone in a lurch
schild;shield
schildpad;turtle
ten slotte;finally
spinnen;purr
schuld;debt
schuldenlast;debt burden
suggestief;suggestive
slagen;success
sindsdien;from that time
schijnt;appear,seem,shined
smerig;vies
stug;stiff,rigid,stubborn
sprookje;fairy tale
schoppen;kick
schot;shot,bang
stoeppalen;sidewalk pole
stoep;steps,doorstep
slopen;demolish
souterrain;basement
scheuren;tear,rupture,rip
stofwolk;cloud of dust
staat;state
treuzelen;to be slow
tranen;tears
tepel;nipple
tenen;toes
trien;meisje
tegelijkertijd;at the same time
tegelijk;at the same time,together
troebel;cloudy,opaque
trompetteren;geluid van oliphant
takken;branch
trillen;tremble
tocht;tour,ook koude windstormen binnenhuis
tinten;tints,colours
tevens;ook
tentoonstelling;exhibition
thans;now,at present
timpaan;tympanum,semi circle decorative wall surface over an entrance
toedracht;how it happened
trechter;funnel
treffen;take,hit,strike
tent;tent
verbouwd;rebuilt
verstoren;disturb,interrupt
verveelvoudigen;to multiply
het vee;livestock
het verhaal;story
uit te houden; maintainable,houdbaar
de vouw;crease
verkennen;to explore,scout
vlug;quick
de wekker;alarm clock
vermoeid;tired
verstrooid;forgetful
voelen;to feel
venster;window
verantwoordelijk;responsible
de urn;the urn (for ashes)
vies;dirty
uitglijden;to slip
vreselijk;horrible
verlichting;relief,ook lighting
verdoven;anesthetize
voorhoofd;front of head
verveeld;bored
ver;far
vracht;freight
vijver;a small man made lake
uberhaupt;German - sowieso, anyway
verdwalen;lost the way
verschieten;fade
vent;man,guy
veroorloven;to afford
voorbode;harbinger,forebode
voorkomen;prevent,to be present
verkondigen;proclaim
vantevoren;earlier
verwoesten;demolished
verschijnen;appeare
vloek;curse
verknocht;devoted
uitpuilen;protude,bulge
vertakking;branch
vastgoed;real estate
verdienen;earn
verdenking;suspicion
uiteindelijk;finally
verdwijnen;vanish,disappear
verstokt;traditional,stubborn
volgen;followed
veroorloven;permit,allow
vastpakken;hold tight
vegen;sweep,wipe
vervloekt;curse,damned
voorziening;facility
wegjagen;exorcise,scare away
verbazen;surprise
viel;fall (vallen)
verwerven;acquire,krijgen
verwaardigen;vouchsafe,deem worthy of
vermoedelijk;probably,waarschijnlijk
vloeinde;flowing
voorttrekken;voort+trekken,drag,tow forward
uitgebeld;afgebeld,depicted,represented
uitbeelden;depict,represent
uiterst;extremely,enormously
verzamelen;collect,gather
vertrekken;leave,depart
veilen;auction
verspreid;sparse,diffuse
voorheen;v/h,before,vroeger
vernielen;destroy,unbuild
verband;connection
voorgevoel;permonition
het woud;forest
wraak;reveng
het wier;seaweed
weeën;contractions
de wee;pain
werkelijk;really
wetende;knowing
wissen;erase
wakker;wake
wijs;wise,melody
wezen;creature
wees;orphan
waarachtig;truthful
wanhopig;desperate,disheartened
wees;pointed out, van wijzen
wekker;alarm clock
weeshuis;orhpanage
wang;cheek
wijsvinger;index finger
wreef;bovenkant van de voet
wimper;eyelash
wenkbrauw;eyebrow
weersomstandigheden;weather conditions
woede;anger,rage
wrij ven;rub,brush,wipe
walvis;whale
welgesteld;well off,rich
winstgevend;profitable
woedend;furious
wanhoop;desperate
weduwe;widow
weduwnaar;widower
windwijzer;weather vane
wolk;cloud
zeeën;seas (van zee)
zot;crazy
zat;enough,plenty,verleden tijd van zitten
zeuren;whine
zuchten;sigh
het zweet;sweat
de zucht;sigh
zich;himself,herself
zakken;dalen,to go down
zeer;(1) erg,very,(2) ook pijn
zeldzaam;rare
zwaaien;wave
zogenaamd;so called
zwoel;warm,sultry
zomaar;just like that
zwijgen;silent
zich zorgen maken; care for, worry about
zeisen;scythe
zegewagen;the victory chariot
zover;so far
